==113054== NVPROF is profiling process 113054, command: ./gpu3 15 16384 2048 32
kernel completed, verifying


Success:
 N	Teams	TeamS	VL	ele/VL	exec_time(s)	FLOPS
15	2048	32	8	1	0.000275	4.015007e+11

==113054== Profiling application: ./gpu3 15 16384 2048 32
==113054== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
848.58ms  2.7520us              (1 1 1)         (1 1 1)         8        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  Kokkos::Impl::_GLOBAL__N__51_tmpxft_0000b038_00000000_6_Kokkos_Cuda_Impl_cpp1_ii_a8bc5097::query_cuda_kernel_arch(int*) [109]
848.63ms  1.3440us                    -               -         -         -         -        4B  2.8383MB/s      Device    Pageable  Tesla P100-PCIE         1         7  [CUDA memcpy DtoH]
851.42ms  1.2480us                    -               -         -         -         -      128B  97.813MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
851.45ms  1.3120us                    -               -         -         -         -  8.0000KB  5.8151GB/s      Device           -  Tesla P100-PCIE         1         7  [CUDA memset]
851.77ms  1.2160us                    -               -         -         -         -      128B  100.39MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
851.81ms  1.0240us                    -               -         -         -         -      128B  119.21MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
851.82ms  1.4720us                    -               -         -         -         -  14.004KB  9.0728GB/s      Device           -  Tesla P100-PCIE         1         7  [CUDA memset]
852.20ms  1.3120us                    -               -         -         -         -       24B  17.445MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
852.23ms  2.8480us            (512 1 1)       (256 1 1)         8        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  Kokkos::_GLOBAL__N__52_tmpxft_0000ae9e_00000000_6_Kokkos_Cuda_Locks_cpp1_ii_915ea793::init_lock_array_kernel_atomic(void) [127]
852.26ms  2.7200us            (448 1 1)       (256 1 1)         8        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  Kokkos::_GLOBAL__N__52_tmpxft_0000ae9e_00000000_6_Kokkos_Cuda_Locks_cpp1_ii_915ea793::init_lock_array_kernel_threadid(int) [130]
