input: ../input/HV15R.rb
num_of_lines_for_m_ptr_in_row_id 252147, num_of_lines_for_m_row_id 28307346, num_of_lines_for_m_data 94357820, num_of_rows 2017169, num_of_cols 2017169, num_of_entries 283073458
matrix read
free: 12, tot: 15
V allocated 
free: 8, tot: 15
R allocated 
free: 4, tot: 15
Blocks 	 ThreadsPerBlock 	 PVL 	 LVL 	 simple_error 	 simd_error 	 simple_time 	 simd_time 
4096 	 2 	 8 	 256 	 0.000007 	 0.000007 	 1034.783000 	 1093.426000 
4096 	 2 	 16 	 256 	 0.000007 	 0.000007 	 894.416000 	 984.202000 
4096 	 2 	 32 	 256 	 0.000007 	 0.000007 	 1058.223000 	 1151.126000 
4096 	 2 	 64 	 256 	 0.000007 	 0.000007 	 1048.906000 	 1015.187000 
4096 	 2 	 128 	 256 	 0.000007 	 0.000007 	 1072.762000 	 1084.202000 
4096 	 4 	 8 	 256 	 0.000007 	 0.000007 	 845.238000 	 842.616000 
4096 	 4 	 16 	 256 	 0.000007 	 0.000007 	 874.877000 	 997.236000 
4096 	 4 	 32 	 256 	 0.000007 	 0.000007 	 1030.446000 	 1128.827000 
4096 	 4 	 64 	 256 	 0.000007 	 0.000007 	 1003.256000 	 977.104000 
4096 	 4 	 128 	 256 	 0.000007 	 0.000007 	 1029.178000 	 1032.812000 
4096 	 8 	 8 	 256 	 0.000007 	 0.000007 	 836.160000 	 834.168000 
4096 	 8 	 16 	 256 	 0.000007 	 0.000007 	 862.576000 	 942.894000 
4096 	 8 	 32 	 256 	 0.000007 	 0.000007 	 1004.305000 	 1087.654000 
4096 	 8 	 64 	 256 	 0.000007 	 0.000007 	 967.205000 	 928.172000 
4096 	 16 	 8 	 256 	 0.000007 	 0.000007 	 791.093000 	 779.253000 
4096 	 16 	 16 	 256 	 0.000007 	 0.000007 	 824.660000 	 912.827000 
4096 	 16 	 32 	 256 	 0.000007 	 0.000007 	 930.023000 	 1038.333000 
4096 	 32 	 8 	 256 	 0.000007 	 0.000007 	 733.503000 	 731.303000 
