input: ../input/Transport.rb
num_of_lines_for_m_ptr_in_row_id 200264, num_of_lines_for_m_row_id 2350074, num_of_lines_for_m_data 7833577, num_of_rows 1602111, num_of_cols 1602111, num_of_entries 23500731
matrix read
free: 15, tot: 15
V allocated 
free: 12, tot: 15
R allocated 
free: 9, tot: 15
Blocks 	 ThreadsPerBlock 	 PVL 	 LVL 	 simple_error 	 simd_error 	 simple_time 	 simd_time 
8192 	 8 	 8 	 256 	 0.000000 	 0.000000 	 87.919000 	 91.655000 
8192 	 8 	 16 	 256 	 0.000000 	 0.000000 	 88.858000 	 105.336000 
8192 	 8 	 32 	 256 	 0.000000 	 0.000000 	 82.839000 	 90.426000 
8192 	 8 	 64 	 256 	 0.000000 	 0.000000 	 76.443000 	 61.394000 
8192 	 16 	 8 	 256 	 0.000000 	 0.000000 	 85.747000 	 88.574000 
8192 	 16 	 16 	 256 	 0.000000 	 0.000000 	 86.983000 	 104.317000 
8192 	 16 	 32 	 256 	 0.000000 	 0.000000 	 70.444000 	 80.752000 
8192 	 32 	 8 	 256 	 0.000000 	 0.000000 	 79.792000 	 80.570000 
8192 	 32 	 16 	 256 	 0.000000 	 0.000000 	 79.116000 	 105.832000 
8192 	 64 	 8 	 256 	 0.000000 	 0.000000 	 73.183000 	 73.364000 
16384 	 8 	 8 	 256 	 0.000000 	 0.000000 	 85.673000 	 88.675000 
16384 	 8 	 16 	 256 	 0.000000 	 0.000000 	 87.249000 	 99.738000 
16384 	 8 	 32 	 256 	 0.000000 	 0.000000 	 76.929000 	 85.163000 
16384 	 8 	 64 	 256 	 0.000000 	 0.000000 	 69.748000 	 47.116000 
16384 	 16 	 8 	 256 	 0.000000 	 0.000000 	 81.092000 	 79.307000 
16384 	 16 	 16 	 256 	 0.000000 	 0.000000 	 78.189000 	 93.398000 
16384 	 16 	 32 	 256 	 0.000000 	 0.000000 	 58.425000 	 67.737000 
16384 	 32 	 8 	 256 	 0.000000 	 0.000000 	 72.048000 	 70.639000 
16384 	 32 	 16 	 256 	 0.000000 	 0.000000 	 68.371000 	 89.965000 
16384 	 64 	 8 	 256 	 0.000000 	 0.000000 	 73.278000 	 73.450000 
32768 	 8 	 8 	 256 	 0.000000 	 0.000000 	 80.406000 	 78.932000 
32768 	 8 	 16 	 256 	 0.000000 	 0.000000 	 78.179000 	 89.040000 
32768 	 8 	 32 	 256 	 0.000000 	 0.000000 	 66.787000 	 73.055000 
32768 	 8 	 64 	 256 	 0.000000 	 0.000000 	 55.335000 	 43.012000 
32768 	 16 	 8 	 256 	 0.000000 	 0.000000 	 76.382000 	 68.594000 
32768 	 16 	 16 	 256 	 0.000000 	 0.000000 	 66.338000 	 78.074000 
32768 	 16 	 32 	 256 	 0.000000 	 0.000000 	 42.891000 	 55.539000 
32768 	 32 	 8 	 256 	 0.000000 	 0.000000 	 74.403000 	 73.411000 
32768 	 32 	 16 	 256 	 0.000000 	 0.000000 	 71.709000 	 80.245000 
32768 	 64 	 8 	 256 	 0.000000 	 0.000000 	 79.653000 	 78.907000 
--------------------- calling cublas ------------------------
cublas success, cublas_error: 0.000000, cublas time: 100.243000 ms
