input: ../input/wiki-talk-temporal.rb
num_of_lines_for_m_ptr_in_row_id 114015, num_of_lines_for_m_row_id 330960, num_of_lines_for_m_data 254584, num_of_rows 1140149, num_of_cols 1140149, num_of_entries 3309592
matrix read
free: 15, tot: 15
V allocated 
free: 14, tot: 15
R allocated 
free: 13, tot: 15
Blocks 	 ThreadsPerBlock 	 PVL 	 LVL 	 simple_error 	 simd_error 	 simple_time 	 simd_time 
8192 	 1 	 1 	 256 	 1.858331 	 1.858331 	 1347.383000 	 2574.852000 
8192 	 1 	 2 	 256 	 1.858331 	 1.858331 	 475.520000 	 2108.615000 
8192 	 1 	 4 	 256 	 1.858331 	 1.858331 	 899.372000 	 1799.338000 
8192 	 1 	 8 	 256 	 1.858331 	 1.858331 	 346.091000 	 890.160000 
8192 	 1 	 16 	 256 	 1.858331 	 1.858331 	 186.210000 	 457.720000 
8192 	 1 	 32 	 256 	 1.858331 	 1.858331 	 108.089000 	 292.229000 
8192 	 1 	 64 	 256 	 1.858331 	 1.858331 	 99.139000 	 153.367000 
8192 	 1 	 128 	 256 	 1.858331 	 1.858331 	 52.719000 	 62.716000 
8192 	 1 	 256 	 256 	 1.858331 	 1.858331 	 64.311000 	 40.864000 
8192 	 2 	 1 	 256 	 1.858331 	 1.858331 	 1315.782000 	 2366.157000 
8192 	 2 	 2 	 256 	 1.858331 	 1.858331 	 476.219000 	 2152.793000 
8192 	 2 	 4 	 256 	 1.858331 	 1.858331 	 892.432000 	 1755.799000 
8192 	 2 	 8 	 256 	 1.858331 	 1.858331 	 344.872000 	 885.041000 
8192 	 2 	 16 	 256 	 1.858331 	 1.858331 	 186.555000 	 455.398000 
8192 	 2 	 32 	 256 	 1.858331 	 1.858331 	 108.600000 	 292.135000 
8192 	 2 	 64 	 256 	 1.858331 	 1.858331 	 97.897000 	 154.903000 
8192 	 2 	 128 	 256 	 1.858331 	 1.858331 	 49.962000 	 64.035000 
8192 	 2 	 256 	 256 	 1.858331 	 1.858331 	 65.373000 	 39.741000 
8192 	 4 	 1 	 256 	 1.858331 	 1.858331 	 1330.301000 	 2342.322000 
8192 	 4 	 2 	 256 	 1.858331 	 1.858331 	 461.131000 	 2097.927000 
8192 	 4 	 4 	 256 	 1.858331 	 1.858331 	 878.562000 	 1725.498000 
8192 	 4 	 8 	 256 	 1.858331 	 1.858331 	 337.922000 	 872.080000 
8192 	 4 	 16 	 256 	 1.858331 	 1.858331 	 181.000000 	 449.083000 
8192 	 4 	 32 	 256 	 1.858331 	 1.858331 	 106.360000 	 284.486000 
8192 	 4 	 64 	 256 	 1.858331 	 1.858331 	 94.680000 	 149.651000 
8192 	 4 	 128 	 256 	 1.858331 	 1.858331 	 52.826000 	 63.992000 
8192 	 8 	 1 	 256 	 1.858331 	 1.858331 	 1320.746000 	 2382.238000 
8192 	 8 	 2 	 256 	 1.858331 	 1.858331 	 460.553000 	 2101.679000 
8192 	 8 	 4 	 256 	 1.858331 	 1.858331 	 885.673000 	 1725.490000 
8192 	 8 	 8 	 256 	 1.858331 	 1.858331 	 337.288000 	 876.459000 
8192 	 8 	 16 	 256 	 1.858331 	 1.858331 	 180.474000 	 449.392000 
8192 	 8 	 32 	 256 	 1.858331 	 1.858331 	 105.063000 	 284.100000 
8192 	 8 	 64 	 256 	 1.858331 	 1.858331 	 94.333000 	 149.321000 
8192 	 16 	 1 	 256 	 1.858331 	 1.858331 	 1335.764000 	 2420.746000 
8192 	 16 	 2 	 256 	 1.858331 	 1.858331 	 465.090000 	 2166.300000 
8192 	 16 	 4 	 256 	 1.858331 	 1.858331 	 899.836000 	 1752.686000 
8192 	 16 	 8 	 256 	 1.858331 	 1.858331 	 342.879000 	 886.431000 
8192 	 16 	 16 	 256 	 1.858331 	 1.858331 	 183.103000 	 454.432000 
8192 	 16 	 32 	 256 	 1.858331 	 1.858331 	 106.311000 	 287.031000 
8192 	 32 	 1 	 256 	 1.858331 	 1.858331 	 1336.573000 	 2441.247000 
8192 	 32 	 2 	 256 	 1.858331 	 1.858331 	 467.027000 	 2137.895000 
8192 	 32 	 4 	 256 	 1.858331 	 1.858331 	 892.615000 	 1757.282000 
8192 	 32 	 8 	 256 	 1.858331 	 1.858331 	 343.768000 	 884.617000 
8192 	 32 	 16 	 256 	 1.858331 	 1.858331 	 185.740000 	 454.594000 
8192 	 64 	 1 	 256 	 1.858331 	 1.858331 	 1324.941000 	 2321.915000 
8192 	 64 	 2 	 256 	 1.858331 	 1.858331 	 459.180000 	 2126.834000 
8192 	 64 	 4 	 256 	 1.858331 	 1.858331 	 878.068000 	 1724.938000 
8192 	 64 	 8 	 256 	 1.858331 	 1.858331 	 335.204000 	 869.910000 
8192 	 128 	 1 	 256 	 1.858331 	 1.858331 	 1331.419000 	 2429.897000 
8192 	 128 	 2 	 256 	 1.858331 	 1.858331 	 467.788000 	 2154.479000 
8192 	 128 	 4 	 256 	 terminate called after throwing an instance of 'std::runtime_error'
  what():  Kokkos::Impl::ParallelFor< Cuda > requested too large team size.
Traceback functionality not available

/uufs/kingspeak.peaks/sys/var/slurm/slurmd.spool/job6879861/slurm_script: line 27: 188860 Aborted                 ./sparse_matvec ../input/wiki-talk-temporal.rb
