181 1
0.0  9.523810e-02 0.0
6.751889e-04 1.110967e-01 0.0
2.024345e-03 1.269123e-01 0.0
4.045025e-03 1.426562e-01 0.0
6.733571e-03 1.582999e-01 0.0
1.008512e-02 1.738150e-01 0.0
1.409360e-02 1.891735e-01 0.0
1.875175e-02 2.043477e-01 0.0
2.405115e-02 2.193099e-01 0.0
2.998220e-02 2.340332e-01 0.0
3.653417e-02 2.484909e-01 0.0
4.369519e-02 2.626568e-01 0.0
5.145230e-02 2.765052e-01 0.0
5.979147e-02 2.900112e-01 0.0
6.869758e-02 3.031502e-01 0.0
7.815453e-02 3.158985e-01 0.0
8.814519e-02 3.282330e-01 0.0
9.865148e-02 3.401313e-01 0.0
1.096544e-01 3.515720e-01 0.0
1.211340e-01 3.625343e-01 0.0
1.330695e-01 3.729983e-01 0.0
1.452289e-01 3.832013e-01 0.0
1.573883e-01 3.934043e-01 0.0
1.695478e-01 4.036073e-01 0.0
1.817072e-01 4.138102e-01 0.0
1.938666e-01 4.240132e-01 0.0
2.060261e-01 4.342162e-01 0.0
2.181855e-01 4.444192e-01 0.0
2.303450e-01 4.546221e-01 0.0
2.425044e-01 4.648251e-01 0.0
2.546638e-01 4.750281e-01 0.0
2.668233e-01 4.852311e-01 0.0
2.789827e-01 4.954341e-01 0.0
2.911421e-01 5.056370e-01 0.0
3.033016e-01 5.158400e-01 0.0
3.154610e-01 5.260430e-01 0.0
3.276204e-01 5.362460e-01 0.0
3.397799e-01 5.464489e-01 0.0
3.519393e-01 5.566519e-01 0.0
3.640987e-01 5.668549e-01 0.0
3.762582e-01 5.770579e-01 0.0
3.884176e-01 5.872609e-01 0.0
4.005771e-01 5.974638e-01 0.0
4.127365e-01 6.076668e-01 0.0
4.248959e-01 6.178698e-01 0.0
4.370554e-01 6.280728e-01 0.0
4.492148e-01 6.382758e-01 0.0
4.613742e-01 6.484787e-01 0.0
4.735337e-01 6.586817e-01 0.0
4.856931e-01 6.688847e-01 0.0
4.978525e-01 6.790877e-01 0.0
5.100120e-01 6.892906e-01 0.0
5.221714e-01 6.994936e-01 0.0
5.343308e-01 7.096966e-01 0.0
5.464903e-01 7.198996e-01 0.0
5.586497e-01 7.301026e-01 0.0
5.708092e-01 7.403055e-01 0.0
5.829686e-01 7.505085e-01 0.0
5.951280e-01 7.607115e-01 0.0
6.072875e-01 7.709145e-01 0.0
6.194469e-01 7.811174e-01 0.0
6.316063e-01 7.913204e-01 0.0
6.437658e-01 8.015234e-01 0.0
6.559252e-01 8.117264e-01 0.0
6.680846e-01 8.219294e-01 0.0
6.802441e-01 8.321323e-01 0.0
6.924035e-01 8.423353e-01 0.0
7.045629e-01 8.525383e-01 0.0
7.167224e-01 8.627413e-01 0.0
7.288818e-01 8.729442e-01 0.0
7.410413e-01 8.831472e-01 0.0
7.532007e-01 8.933502e-01 0.0
7.653601e-01 9.035532e-01 0.0
7.775196e-01 9.137562e-01 0.0
7.896790e-01 9.239591e-01 0.0
8.018384e-01 9.341621e-01 0.0
8.139979e-01 9.443651e-01 0.0
8.261573e-01 9.545681e-01 0.0
8.383167e-01 9.647710e-01 0.0
8.504762e-01 9.749740e-01 0.0
8.626356e-01 9.851770e-01 0.0
8.747950e-01 9.953800e-01 0.0
8.864520e-01 1.006153e+00 0.0
8.975797e-01 1.017473e+00 0.0
9.081526e-01 1.029312e+00 0.0
9.181466e-01 1.041644e+00 0.0
9.275385e-01 1.054440e+00 0.0
9.363070e-01 1.067671e+00 0.0
9.444319e-01 1.081307e+00 0.0
9.518945e-01 1.095317e+00 0.0
9.586778e-01 1.109667e+00 0.0
