   501      101
 0.00000E+00      0.00000E+00      8.80745E-29
 0.00000E+00      1.00000E-02      8.80745E-29
 0.00000E+00      2.00000E-02      8.80745E-29
 0.00000E+00      3.00000E-02      8.80745E-29
 0.00000E+00      4.00000E-02      8.80745E-29
 0.00000E+00      5.00000E-02      8.80745E-29
 0.00000E+00      6.00000E-02      8.80745E-29
 0.00000E+00      7.00000E-02      8.80745E-29
 0.00000E+00      8.00000E-02      8.80745E-29
 0.00000E+00      9.00000E-02      8.80745E-29
 0.00000E+00      1.00000E-01      8.80745E-29
 0.00000E+00      1.10000E-01      8.80745E-29
 0.00000E+00      1.20000E-01      8.80745E-29
 0.00000E+00      1.30000E-01      8.80745E-29
 0.00000E+00      1.40000E-01      8.80745E-29
 0.00000E+00      1.50000E-01      8.80745E-29
 0.00000E+00      1.60000E-01      8.80745E-29
 0.00000E+00      1.70000E-01      8.80745E-29
 0.00000E+00      1.80000E-01      8.80745E-29
 0.00000E+00      1.90000E-01      8.80745E-29
 0.00000E+00      2.00000E-01      8.80745E-29
 0.00000E+00      2.10000E-01      8.80745E-29
 0.00000E+00      2.20000E-01      8.80745E-29
 0.00000E+00      2.30000E-01      8.80745E-29
 0.00000E+00      2.40000E-01      8.80745E-29
 0.00000E+00      2.50000E-01      8.80745E-29
 0.00000E+00      2.60000E-01      8.80745E-29
 0.00000E+00      2.70000E-01      8.80745E-29
 0.00000E+00      2.80000E-01      8.80745E-29
 0.00000E+00      2.90000E-01      8.80745E-29
 0.00000E+00      3.00000E-01      8.80745E-29
 0.00000E+00      3.10000E-01      8.80745E-29
 0.00000E+00      3.20000E-01      8.80745E-29
 0.00000E+00      3.30000E-01      8.80745E-29
 0.00000E+00      3.40000E-01      8.80745E-29
 0.00000E+00      3.50000E-01      8.80745E-29
 0.00000E+00      3.60000E-01      8.80745E-29
 0.00000E+00      3.70000E-01      8.80745E-29
 0.00000E+00      3.80000E-01      8.80745E-29
 0.00000E+00      3.90000E-01      8.80745E-29
 0.00000E+00      4.00000E-01      8.80745E-29
 0.00000E+00      4.10000E-01      8.80745E-29
 0.00000E+00      4.20000E-01      8.80745E-29
 0.00000E+00      4.30000E-01      8.80745E-29
 0.00000E+00      4.40000E-01      8.80745E-29
 0.00000E+00      4.50000E-01      8.80745E-29
 0.00000E+00      4.60000E-01      8.80745E-29
