181 1
2.000000e+00 9.523810e-02 0.0
1.999325e+00 1.110967e-01 0.0
1.997976e+00 1.269123e-01 0.0
1.995955e+00 1.426562e-01 0.0
1.993266e+00 1.582999e-01 0.0
1.989915e+00 1.738150e-01 0.0
1.985906e+00 1.891735e-01 0.0
1.981248e+00 2.043477e-01 0.0
1.975949e+00 2.193099e-01 0.0
1.970018e+00 2.340332e-01 0.0
1.963466e+00 2.484909e-01 0.0
1.956305e+00 2.626568e-01 0.0
1.948548e+00 2.765052e-01 0.0
1.940209e+00 2.900112e-01 0.0
1.931302e+00 3.031502e-01 0.0
1.921845e+00 3.158985e-01 0.0
1.911855e+00 3.282330e-01 0.0
1.901349e+00 3.401313e-01 0.0
1.890346e+00 3.515720e-01 0.0
1.878866e+00 3.625343e-01 0.0
1.866931e+00 3.729983e-01 0.0
1.854771e+00 3.832013e-01 0.0
1.842612e+00 3.934043e-01 0.0
1.830452e+00 4.036073e-01 0.0
1.818293e+00 4.138102e-01 0.0
1.806133e+00 4.240132e-01 0.0
1.793974e+00 4.342162e-01 0.0
1.781814e+00 4.444192e-01 0.0
1.769655e+00 4.546221e-01 0.0
1.757496e+00 4.648251e-01 0.0
1.745336e+00 4.750281e-01 0.0
1.733177e+00 4.852311e-01 0.0
1.721017e+00 4.954341e-01 0.0
1.708858e+00 5.056370e-01 0.0
1.696698e+00 5.158400e-01 0.0
1.684539e+00 5.260430e-01 0.0
1.672380e+00 5.362460e-01 0.0
1.660220e+00 5.464489e-01 0.0
1.648061e+00 5.566519e-01 0.0
1.635901e+00 5.668549e-01 0.0
1.623742e+00 5.770579e-01 0.0
1.611582e+00 5.872609e-01 0.0
1.599423e+00 5.974638e-01 0.0
1.587264e+00 6.076668e-01 0.0
1.575104e+00 6.178698e-01 0.0
1.562945e+00 6.280728e-01 0.0
1.550785e+00 6.382758e-01 0.0
1.538626e+00 6.484787e-01 0.0
1.526466e+00 6.586817e-01 0.0
1.514307e+00 6.688847e-01 0.0
1.502147e+00 6.790877e-01 0.0
1.489988e+00 6.892906e-01 0.0
1.477829e+00 6.994936e-01 0.0
1.465669e+00 7.096966e-01 0.0
1.453510e+00 7.198996e-01 0.0
1.441350e+00 7.301026e-01 0.0
1.429191e+00 7.403055e-01 0.0
1.417031e+00 7.505085e-01 0.0
1.404872e+00 7.607115e-01 0.0
1.392713e+00 7.709145e-01 0.0
1.380553e+00 7.811174e-01 0.0
1.368394e+00 7.913204e-01 0.0
1.356234e+00 8.015234e-01 0.0
1.344075e+00 8.117264e-01 0.0
1.331915e+00 8.219294e-01 0.0
1.319756e+00 8.321323e-01 0.0
1.307596e+00 8.423353e-01 0.0
1.295437e+00 8.525383e-01 0.0
1.283278e+00 8.627413e-01 0.0
1.271118e+00 8.729442e-01 0.0
1.258959e+00 8.831472e-01 0.0
1.246799e+00 8.933502e-01 0.0
1.234640e+00 9.035532e-01 0.0
1.222480e+00 9.137562e-01 0.0
1.210321e+00 9.239591e-01 0.0
1.198162e+00 9.341621e-01 0.0
1.186002e+00 9.443651e-01 0.0
1.173843e+00 9.545681e-01 0.0
1.161683e+00 9.647710e-01 0.0
1.149524e+00 9.749740e-01 0.0
1.137364e+00 9.851770e-01 0.0
1.125205e+00 9.953800e-01 0.0
1.113548e+00 1.006153e+00 0.0
1.102420e+00 1.017473e+00 0.0
1.091847e+00 1.029312e+00 0.0
1.081853e+00 1.041644e+00 0.0
1.072461e+00 1.054440e+00 0.0
1.063693e+00 1.067671e+00 0.0
1.055568e+00 1.081307e+00 0.0
1.048105e+00 1.095317e+00 0.0
1.041322e+00 1.109667e+00 0.0
1.035234e+00 1.124326e+00 0.0
1.029854e+00 1.139260e+00 0.0
1.025196e+00 1.154434e+00 0.0
1.021270e+00 1.169814e+00 0.0
1.018085e+00 1.185364e+00 0.0
1.015647e+00 1.201049e+00 0.0
1.013964e+00 1.216832e+00 0.0
1.013039e+00 1.232678e+00 0.0
1.013039e+00 1.248551e+00 0.0
1.013039e+00 1.264424e+00 0.0
1.013039e+00 1.280297e+00 0.0
1.013039e+00 1.296170e+00 0.0
1.013039e+00 1.312043e+00 0.0
1.013039e+00 1.327916e+00 0.0
1.013039e+00 1.343789e+00 0.0
1.013039e+00 1.359662e+00 0.0
1.013039e+00 1.375535e+00 0.0
1.013039e+00 1.391408e+00 0.0
1.013039e+00 1.407281e+00 0.0
1.016459e+00 1.422781e+00 0.0
1.021858e+00 1.437708e+00 0.0
1.029146e+00 1.451809e+00 0.0
1.038200e+00 1.464847e+00 0.0
1.048866e+00 1.476602e+00 0.0
1.060965e+00 1.486877e+00 0.0
1.074293e+00 1.495497e+00 0.0
1.088626e+00 1.502318e+00 0.0
1.103721e+00 1.507225e+00 0.0
1.119325e+00 1.510135e+00 0.0
1.135175e+00 1.510998e+00 0.0
1.151048e+00 1.510998e+00 0.0
1.166921e+00 1.510998e+00 0.0
1.182794e+00 1.510998e+00 0.0
1.198667e+00 1.510998e+00 0.0
1.214540e+00 1.510998e+00 0.0
1.230413e+00 1.510998e+00 0.0
1.246286e+00 1.510998e+00 0.0
1.262159e+00 1.510998e+00 0.0
1.278032e+00 1.510998e+00 0.0
1.293905e+00 1.510998e+00 0.0
1.309778e+00 1.510998e+00 0.0
1.325651e+00 1.510998e+00 0.0
1.341524e+00 1.510998e+00 0.0
1.357397e+00 1.510998e+00 0.0
1.373270e+00 1.510998e+00 0.0
1.389143e+00 1.510998e+00 0.0
1.405016e+00 1.510998e+00 0.0
1.420889e+00 1.510998e+00 0.0
1.436762e+00 1.510998e+00 0.0
1.452635e+00 1.510998e+00 0.0
1.468508e+00 1.510998e+00 0.0
1.484381e+00 1.510998e+00 0.0
1.500254e+00 1.510998e+00 0.0
1.516127e+00 1.510998e+00 0.0
1.532000e+00 1.510998e+00 0.0
1.547873e+00 1.510998e+00 0.0
1.563746e+00 1.510998e+00 0.0
1.579619e+00 1.510998e+00 0.0
1.595492e+00 1.510998e+00 0.0
1.611365e+00 1.510998e+00 0.0
1.627238e+00 1.510998e+00 0.0
1.643111e+00 1.510998e+00 0.0
1.658984e+00 1.510998e+00 0.0
1.674857e+00 1.510998e+00 0.0
1.690730e+00 1.510998e+00 0.0
1.706603e+00 1.510998e+00 0.0
1.722476e+00 1.510998e+00 0.0
1.738349e+00 1.510998e+00 0.0
1.754222e+00 1.510998e+00 0.0
1.770095e+00 1.510998e+00 0.0
1.785968e+00 1.510998e+00 0.0
1.801841e+00 1.510998e+00 0.0
1.817664e+00 1.512257e+00 0.0
1.833338e+00 1.514766e+00 0.0
1.848763e+00 1.518509e+00 0.0
1.863843e+00 1.523464e+00 0.0
1.878483e+00 1.529599e+00 0.0
1.892590e+00 1.536875e+00 0.0
1.906076e+00 1.545247e+00 0.0
1.918855e+00 1.554661e+00 0.0
1.930848e+00 1.565059e+00 0.0
1.941979e+00 1.576375e+00 0.0
1.958274e+00 1.588538e+00 0.0
1.967476e+00 1.601472e+00 0.0
1.975624e+00 1.615094e+00 0.0
1.982666e+00 1.629319e+00 0.0
1.988559e+00 1.644058e+00 0.0
1.993264e+00 1.659218e+00 0.0
1.996753e+00 1.674702e+00 0.0
1.999003e+00 1.690415e+00 0.0
