0.05    	11   11      -0.13    0.13   0   0.0 -5.0  0.0
0.10   	    10   10      -0.13    0.14   0   0.0 -5.0  0.0
0.15        9   9     	-0.13    0.15   0   0.0 -5.0  0.0
0.20         8   8     	-0.13    0.16   0   0.0 -5.0  0.0
0.25        7   7    	-0.13    0.17   0   0.0 -5.0  0.0
0.30         6   6     	-0.13    0.18   0   0.0 -5.0  0.0
0.35        5   5     	-0.13    0.19   0   0.0 -5.0  0.0
0.40        4   4     	-0.13    0.20   0   0.0 -5.0  0.0
0.45        3   3     	-0.13    0.21   0   0.0 -5.0  0.0
0.50        2   2     	-0.13    0.22   0   0.0 -5.0  0.0
